company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Nevina Infotech,Digital Marketing Specialist,India,360000.0,"CRM software, Customer segmentation, Analysis skills, Project management, Digital marketing",,Digital Marketing Specialist
Infineon Technologies,Senior Marketing Specialist,Bengaluru,700000.0,"Branding, English, Project management, Human resources, Recruiting",4.1,Digital Marketing Specialist
Madgeek,Digital Marketing Specialist,Bengaluru,600000.0,"Email marketing, Google AdWords, Web analytics, Digital marketing, Direct sales",4.5,Digital Marketing Specialist
AAHVAN ADVENTURES (OPC) PRIVATE LIMITED,Digital Marketing Specialist,India,250000.0,"Web analytics, Social media marketing, Facebook Advertising, Lead generation, Digital marketing",,Digital Marketing Specialist
Jobs clap,Digital Marketing Specialist,Delhi,540000.0,"Digital marketing, Communication skills, Performance marketing",,Digital Marketing Specialist
The Webincline .co,Digital Marketing Specialist,Pānīpat,540000.0,"Adobe Photoshop, Social media marketing, Facebook Advertising, English, Digital marketing",,Digital Marketing Specialist
The Brand Marketing,Digital Marketing Specialist,India,150000.0,"Lead generation, SEO, SEO tools, A/B testing, Google Ads",,Digital Marketing Specialist
Wattmonk Renewable Technologies Inc.,Digital Marketing Specialist,Gurgaon,500000.0,"CSS, WordPress, Keyword research, Digital marketing, B2B",3.3,Digital Marketing Specialist
Karavali Fine Dine,Digital Marketing Specialist,Bengaluru,354000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
Nucot,Digital Marketing Specialist,Bengaluru,450000.0,"Buffer, English, Digital marketing, Hootsuite, Video production",5.0,Digital Marketing Specialist
SMR Holdings,Senior Digital Marketing Specialist,India,0.0,"Web design, Writing skills, Content management systems, Graphic design, Content creation",3.3,Digital Marketing Specialist
ADHI VEDA PHARMACEUTICAL PRIVATE LIMITED,Digital Marketing Specialist,Aluva,72000.0,"Facebook Advertising, Digital marketing",,Digital Marketing Specialist
Suraj School Sec 56 Gurugram,Digital Marketing Specialist,India,426000.0,"Adobe Photoshop, Typography, Social media marketing, Facebook Advertising, Adobe Illustrator",,Digital Marketing Specialist
