company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Creative Capsule,User Support Specialist/Senior User Support Specialist (Linux),Goa,0.0,"TCP, System administration, Software troubleshooting, Microsoft SQL Server, MongoDB",4.4,UX Designer
TechUnity Software Systems India Pvt Ltd,Level 1/Level 2 Tech Support - Linux Administrator,Coimbatore,1000000.0,"Kubernetes, Ansible, Technical support, Firewall, Docker",4.1,UX Designer
CyberNX Technologies Pvt Ltd.,Linux Administrator,India,492000.0,"Oracle, AWS, Linux",3.5,UX Designer
Entomo,UI/UX Developer,Bengaluru,850000.0,"Adobe Dreamweaver, Adobe Photoshop, CSS, Bootstrap, Mobile applications",3.4,UX Designer
Elula Tech Pvt Ltd.,"UI Developer – HTML, CSS, JS",Bengaluru,3600000.0,"CSS, WordPress, JavaScript, UI, HTML",4.9,UX Designer
KEY IDEAS INFOTECH,Front-End UI Developer,Gurgaon,3600000.0,"CSS, Bootstrap, JavaScript, SCSS, UI",3.8,UX Designer
Codenbiz Technologies,UI Developer,Delhi,0.0,,,UX Designer
SupportSages Consultancy Services Pvt Ltd,Junior System Engineer (Linux),Cochin,0.0,"FTP, Microsoft Excel, English, Firewall, AWS",,UX Designer
InfluxService,VOIP Linux Engineer,Remote,0.0,"English, MongoDB, Analysis skills, VoIP, Linux",,UX Designer
Techvaria,Product Manager - UI/UX,Bengaluru,600000.0,,3.6,UX Designer
Deloitte,Manager - UX Product Designer,Hyderābād,850000.0,"Axure, Lean, UXPin, Adobe Creative Suite, Usability",4.0,UX Designer
Heart It Out,UI/UX Designer,Remote,0.0,"UX, UI",4.3,UX Designer
Beatum IT Solutions Pvt Ltd,Freelance UI/UX Designer,Remote,0.0,"Adobe Illustrator, Visual design, Adobe XD, UX, UI",5.0,UX Designer
Portfolio Builders,Junior UI/UX Designer,Remote,120000.0,"Typography, Colour theory, Analysis skills, Adobe XD, UX",,UX Designer
Plum Benefits,UX Researcher I,Bengaluru,700000.0,"UX, Agile, Communication skills",2.9,UX Designer
Microsoft,UX Designer II,Hyderābād,650000.0,"Adobe Photoshop, Azure, Research, Visual design, UX",4.2,UX Designer
Koru UX Design LLP,UI/UX Designer (Job Code: DES-1-012025),Remote,1000000.0,"Web accessibility, Bootstrap, Enterprise Software, Responsive web design, B2B",4.5,UX Designer
Stickmancyber,UI/UX Designer,Remote,200000.0,"Jira, Branding, CSS, Trello, Confluence",,UX Designer
upGrowth,UI/UX Designer,Remote,0.0,"Wireframing, UX, UI, User research, Communication skills",5.0,UX Designer
LightIdea,UI/UX Desginer,Remote,210000.0,"Oracle, CSS, Mobile applications, Adobe Creative Suite, JavaScript",,UX Designer
RaftLabs,UI/UX Designer,India,750000.0,"Research, Wireframing, Adobe XD, UX, UI",4.9,UX Designer
Invictus DigiSoft,UI/UX Designer,Remote,0.0,"CSS, Mobile applications, Graphic design, Project management, Adobe XD",4.3,UX Designer
Fresh Prints,UX/UI Designer,Hyderābād,800000.0,"Adobe XD, UX, UI, User research, Figma",3.9,UX Designer
